CSDUID,LOCAL_YEAR,POP
2458037,2018,26730
2473010,2018,26294
2497007,2018,25257
2431084,2018,25616
2467015,2018,25603
2460028,2018,23194
2457040,2018,23292
2458012,2018,22459
2496020,2018,21192
2459020,2018,21454
2467020,2018,21935
2463048,2018,22214
2461025,2018,20764
2466032,2018,21252
2466072,2018,21320
2466102,2018,20219
2471105,2018,20835
2412072,2018,19978
2466107,2018,19761
2466087,2018,19809
2423072,2018,19095
2457035,2018,18866
2472015,2018,19211
2472010,2018,17760
2457020,2018,17165
2467030,2018,17252
2423057,2018,16482
2475005,2018,16824
2475028,2018,16747
2471070,2018,14992
2403005,2018,14966
2473035,2018,14961
2408053,2018,14165
2492022,2018,14138
2479088,2018,14161
2473020,2018,13939
2461035,2018,14179
2446080,2018,14309
2452007,2018,14001
2426030,2018,13819
2467045,2018,13911
2438010,2018,13324
2475040,2018,13304
2477022,2018,13430
2470022,2018,13266
2476020,2018,13153
2488055,2018,12857
2459015,2018,12775
2401023,2018,12089
2482015,2018,12072
2418050,2018,11152
2462037,2018,11374
2490012,2018,10993
2455048,2018,10992
2471060,2018,11213
2482020,2018,11106
2471065,2018,11081
2434128,2018,10625
2491042,2018,10235
2478032,2018,10638
2477043,2018,10630
2491025,2018,9899
2467802,2018,10072
2463060,2018,10378
2478102,2018,10026
2473030,2018,9850
2457010,2018,10465
2473025,2018,9464
2434017,2018,9773
2461030,2018,9430
2475045,2018,9667
2446078,2018,9783
2444037,2018,8903
2446112,2018,9337
2457030,2018,8291
2422035,2018,8923
2415013,2018,8122
2468055,2018,8660
2450072,2018,8423
2471025,2018,8608
2459035,2018,8724
2482035,2018,8050
2471133,2018,7959
2422040,2018,7912
2422005,2018,7978
2448028,2018,7625
2499025,2018,7571
2421045,2018,7956
2402028,2018,7450
2467025,2018,7899
2422045,2018,7909
2487090,2018,7288
2434025,2018,7301
2451015,2018,7182
2416013,2018,7155
2476043,2018,7298
2471040,2018,7156
2466062,2018,7274
2447035,2018,7081
2482025,2018,6980
2471050,2018,7026
2497022,2018,6626
2440043,2018,6773
2472025,2018,6916
2426070,2018,6737
2432040,2018,6517
2472020,2018,6484
2404037,2018,6378
2467010,2018,6898
2462007,2018,6579
2427028,2018,6314
2409077,2018,6210
2433090,2018,6833
2407047,2018,6091
2422020,2018,6284
2463055,2018,6251
2432033,2018,6143
2460005,2018,6114
2461005,2018,6272
2455023,2018,5923
2482030,2018,5909
2459025,2018,5782
2494240,2018,5972
